x,y
0.015384615,6.442687747
0.134615385,6.367588933
0.223076923,6.288537549
0.311538462,6.217391304
0.415384615,6.14229249
0.519230769,6.055335968
0.611538462,5.976284585
0.711538462,5.865612648
0.815384615,5.766798419
0.911538462,5.699604743
1.011538462,5.592885375
1.107692308,5.505928854
1.207692308,5.387351779
1.307692308,5.268774704
1.403846154,5.158102767
1.503846154,5.059288538
1.603846154,4.996047431
1.696153846,4.940711462
1.815384615,4.920948617
1.896153846,4.988142292
2.015384615,5.079051383
2.111538462,5.316205534
2.211538462,5.581027668
2.307692308,5.960474308
2.419230769,6.407114625
2.5,6.841897233
